Age,Weight,Sex,Height
19,180,0,61
19,160,0,70
19,135,0,70
19,195,0,71
19,130,1,64
19,120,1,64
21,135,1,69
19,125,0,67
19,120,1,62
20,145,0,66
19,155,0,65
19,135,1,69
19,140,0,66
,120,1,63
19,140,0,69
18,113,1,66
18,180,0,68
19,175,0,72
19,169,0,70
19,210,0,74
20,104,1,66
20,105,1,64
20,125,1,65
20,120,1,71
19,119,1,69
,140,1,64
20,185,1,67
19,110,1,60
20,120,1,66
19,175,0,71
19,135,1,65
19,120,0,70
21,,0,69
20,108,1,63
19,118,1,63
20,135,0,72
19,169,0,73
19,145,0,69
27,130,1,69
18,135,0,64
20,115,1,61
19,140,0,68
21,152,0,70
19,118,1,64
19,112,1,62
19,100,1,64
20,135,1,67
20,110,1,63
20,,0,68
18,115,1,63
19,145,0,68
19,115,1,65
19,128,1,63
20,,1,68
19,130,0,69
19,165,0,69
19,130,0,69
20,180,0,70
28,110,1,65
19,155,0,55
